"keyword1","keyword2","keyword3","keyword4","keyword5","keyword6","keyword7","keyword8","keyword9","keyword10","tmdbId","image_url","name","year","janre1","janre2","janre3","janre4","janre5"
american football,,,,,,,,,,211,https://image.tmdb.org/t/p/original/zmvRaCRcmi6lsriYxZmAR6uWHPS.jpg,The Game,"2006-10-01",드라마,코미디,,,
middle class,framed,,,,,,,,,212,https://image.tmdb.org/t/p/original/uGUfVxcMnqQgXKyC9LJUdByprib.jpg,Runaway,"2006-09-25",드라마,,,,
,,,,,,,,,,217,https://image.tmdb.org/t/p/original/a6O7gKJQe5HWaMujYvdMYaj9PnO.jpg,Inside the Actors Studio,"1994-06-01",Talk,,,,
experiment,"seattle, usa",genius,secret organization,superhuman,fish out of water,family drama,,,,219,https://image.tmdb.org/t/p/original/4omwjf3HgGx4nZXcA0Avmd9bQny.jpg,카일 XY,"2006-06-26",Sci-Fi & Fantasy,드라마,,,
wedding,sitcom,,,,,,,,,220,https://image.tmdb.org/t/p/original/35FmsYvgORNeomdRLigRJdcpF6N.jpg,Big Day,"2006-11-28",코미디,,,,
,,,,,,,,,,222,https://image.tmdb.org/t/p/original/yb8DaYqOfUff9N9ENhuhSzUtDGQ.jpg,Deep Sea Detectives,"2003-04-01",다큐멘터리,,,,
sports,football (soccer),,,,,,,,,224,https://image.tmdb.org/t/p/originalnull,Match of the Day,"1964-08-22",Talk,News,,,
british army,battle,period drama,historical,napoleonic wars,military,historical drama,"19th century",european history,war,225,https://image.tmdb.org/t/p/original/adoq3P4qCeDquGXjtcwDDXECESH.jpg,Sharpe,"1993-05-05",War & Politics,Action & Adventure,,,
game show,contest show,,,,,,,,,226,https://image.tmdb.org/t/p/original/x9isUVvgl9QogC4GUFdKLCIauQn.jpg,Battle Dome,"1999-09-18",Reality,,,,
man child,sitcom,,,,,,,,,227,https://image.tmdb.org/t/p/originalnull,The Mike O'Malley Show,"1999-09-21",코미디,,,,
,,,,,,,,,,228,https://image.tmdb.org/t/p/original/cXgTVGfEabHtero6UV1Gzsruko1.jpg,The High Life,"1994-01-09",드라마,코미디,,,
pop culture,comedian,chihuahua,,,,,,,,231,https://image.tmdb.org/t/p/original/kUCMWgkia4jnGUmbQkHpk9L95VK.jpg,The Soup,"2004-07-01",Talk,코미디,,,
