content_id,title,genre,poster_url,rating_count,rating_avg,overview
345,My Little Pony,Animation,https://image.tmdb.org/t/p/original/tkVztC8YKR8JSIHgwRWD5boViBJ.jpg,10,7.2,"Ponyland is the home of all your favorite classic Little Ponies. Together, they live a life of games, songs and harmony with allies like the Bushwoolies and Furbobs. But, occasionally, there are problems in Ponyland and the Little Ponies of Paradise Estate must face evil witches, goblins, Stone Backs, Grundles and more!"
346,American Dragon: Jake Long,Animation Comedy Action & Adventure Family,https://image.tmdb.org/t/p/original/sAgoJOdvuMa3DD0JDpos9bdaF9S.jpg,428,7.834,"American Dragon is a coming of age comedy-action series about Jake Long, a 13-year-old Asian-American boy who strives to find balance in his life as a skateboard-grinding, New York 'tween while learning to master his mystical powers (in his secret identity) as the American Dragon, the protector and guardian of all magical creatures secretly living amidst the human world."
357,The Trap Door,Animation Comedy,https://image.tmdb.org/t/p/original/bEFkBpLlzVKDRtbUSe8dPbXQKz.jpg,14,7.6,"The Trap Door is a claymation-style animated television series, originally shown in the United Kingdom in 1984. The plot revolves around both the daily lives and the misadventures of a group of monsters living in a castle. Although the emphasis was on humour and the show was marketed as a children's programme but also for family entertainment, the show drew much from the genres of horror and dark fantasy. The show has since become a cult favourite and remains one of the most widely recognised kids' shows of the 1980s. Digital children's channel Pop started rerunning the show in 2010."
364,Sealab 2020,Sci-Fi & Fantasy Animation Family,https://image.tmdb.org/t/p/original/y16yHWc6igiXKUYBIUrkupuzb6.jpg,4,6.8,"Sealab 2020 is an American animated television series produced by Hanna-Barbera. The show premiered on NBC on September 9, 1972. The series aired its 13th and final episode on December 2, 1972, with three episodes unaired. As with most Hanna-Barbera series, the show is in occasional rotation on Boomerang, the TV channel that owns the Hanna-Barbera archives."
370,Stickin' Around,Animation Comedy,https://image.tmdb.org/t/p/original/zggtYMdFY5vYYyxre6ZNc8cKkxi.jpg,0,0.0,"Young best friends Stacy and Bradley have a unique ability that allows them to bring their fantasies to life. The kids are able to draw their own cartoons, bringing their imaginations to life. They often use their hand-drawn adventures to help them overcome obstacles they face, whether they involve school, bullies or even their parents. With their drawings, everyday life for Stacy and Bradley can take a turn at any time and become a wild roller-coaster ride. Stacy's overweight dog Frank and Bradley's pet chameleon Lester accompany the best buds on their adventures."
371,Chilly Beach,Animation Comedy,https://image.tmdb.org/t/p/original/6erGTRwdcChCSr0mVXvEhIWrIfU.jpg,0,0.0,"Chilly Beach was a Canadian animated series, which aired on CBC Television in Canada and The Comedy Channel in Australia. The series is a comedic depiction of life in the fictional Canadian town of Chilly Beach, described by the producers as ""a bunch of Canadians doing the stuff that Canadians do, like playing hockey, drinking beer, and being eaten by polar bears."" Chilly Beach plays on nearly every conceivable stereotype that people have about Canadians in a satirical manner.

The show began as an animated Flash site on the Web, and was developed into a CBC TV series which first aired in 2003. The show was cancelled during the production of the third season, which was never finished or aired on television - with the show totalling 65 episodes. An early version of the Chilly Beach feature film, The World Is Hot Enough, made its theatrical debut at Cinéfest in September 2005, and as released to DVD on February 4, 2008. A second film, The Canadian President was also produced.

Guest stars on the show have included William Shatner, Joe Flaherty, Leslie Nielsen, Elvis Stojko, Lawrence Gowan and David Suzuki. The show was produced in Sudbury, Ontario by March Entertainment. In 2011, the series launched in the U.S. on the streaming video website Hulu."
384,Doug,Animation Comedy Kids,https://image.tmdb.org/t/p/original/jqTZMfgoiu5EeHAwMf3SiO6THU4.jpg,177,7.297,"Doug Funnie experiences common predicaments while attending school in his new hometown of Bluffington, Virginia."
387,SpongeBob SquarePants,Animation Comedy Family Sci-Fi & Fantasy,https://image.tmdb.org/t/p/original/mgRUpjG9fjMgOmaGeHZR5tzbNYS.jpg,2622,7.6,"Deep down in the Pacific Ocean in the subterranean city of Bikini Bottom lives a square yellow sponge named SpongeBob SquarePants. SpongeBob lives in a pineapple with his pet snail, Gary, loves his job as a fry cook at the Krusty Krab, and has a knack for getting into all kinds of trouble without really trying. When he's not getting on the nerves of his cranky next door neighbor Squidward, SpongeBob can usually be found smack in the middle of all sorts of strange situations with his best buddy, the simple yet lovable starfish, Patrick, or his thrill-seeking surfer-girl squirrel pal, Sandy Cheeks."
406,Ӕon Flux,Animation Sci-Fi & Fantasy Action & Adventure,https://image.tmdb.org/t/p/original/3745n05zXNMfWwkXMcCiF64838s.jpg,113,7.665,"Æon Flux is set in a bizarre, dystopian future world. The title character is a tall, leather-clad secret agent from the nation of Monica, skilled in assassination and acrobatics. Her mission is to infiltrate the strongholds of the neighboring country of Bregna, which is led by her sometimes-nemesis and sometimes-lover Trevor Goodchild. Monica represents a dynamic anarchist society, while Bregna embodies a police state."
416,"Harvey Birdman, Attorney at Law",Sci-Fi & Fantasy Animation Comedy Action & Adventure Crime,https://image.tmdb.org/t/p/original/125BwUGkQ4mzizKeUIFv74OzMEZ.jpg,93,8.124,"Harvey Birdman, Attorney at Law features ex-superhero Harvey T. Birdman of Birdman and the Galaxy Trio as an attorney working for a law firm alongside other cartoon stars from 1960s and 1970s Hanna-Barbera cartoon series. Similarly, Harvey's clients are also primarily composed of characters taken from Hanna-Barbera cartoon series of the same era. Many of Birdman's nemeses featured in his former cartoon series also became attorneys, often representing the opposing side of a given case."
